canonical_smiles,pIC50
O=C1C2CC2C(=O)N1c1cc(Cc2nnc(O)c3ccccc23)ccc1F,8.301029995663981
O=C1CCCC(=O)N1c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,8.387216143280265
CN1CC(=O)N(c2cc(Cc3nnc(O)c4ccccc34)ccc2F)C(=O)C1,8.022276394711152
Oc1nc2cc(CN3CCOCC3)ccc2c2ccccc12,7.638272163982407
CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,6.958607314841775
O=C1NC(CCCN2CC=C(c3ccccc3)CC2)=NC2CCCC12,6.603800652904264
O=C1NC(CCCN2CC=C(c3ccccc3)CC2)=NC2CCCCC12,7.698970004336019
O=C1NC(CCCN2CC=C(c3ccccc3)CC2)=NC2CCCCCC12,6.305394801066432
O=C1NC(CCCN2CC=C(c3ccccc3)CC2)=NC2CCSCC12,8.050609993355087
O=C1NC(CCCN2CC=C(c3ccccc3)CC2)=NC2CCOCC12,6.698970004336019
CC1CCC2N=C(CCCN3CC=C(c4ccccc4)CC3)NC(=O)C2C1,6.562249437179612
CC1(C)CCC2N=C(CCCN3CC=C(c4ccccc4)CC3)NC(=O)C2C1,5.0
CC1=NC2CCSCC2C(=O)N1,6.330683119433888
O=c1[nH]nc(CCCCN2CC=C(c3ccccc3)CC2)c2ccccc12,7.1938200260161125
Oc1nnc(CCCCCN2CCOCC2)c2ccccc12,6.924453038607469
Oc1nnc(CCCCN2CCOCC2)c2ccccc12,6.022276394711152
O=c1[nH]c2ccc(CCCN3CC=C(c4ccccc4)CC3)cc2c2ccccc12,7.337242168318426
Oc1nc2ccc(CCCCN3CC=C(c4ccccc4)CC3)cc2c2ccccc12,6.924453038607469
Oc1nc2cc(CN3CC=C(c4ccccc4)CC3)ccc2c2ccccc12,7.795880017344075
O=C1NC(=O)c2c1c1c(c3[nH]c4ccccc4c23)CCC1,7.443697499232712
O=C1NC(=O)c2c1ccc1[nH]ccc21,6.1249387366083
O=C1NC(=O)c2c1c1c(c3[nH]ccc23)CCC1,7.397940008672037
O=C1NCc2c1c1c(c3[nH]c4ccccc4c23)CCC1,7.045757490560675
Cc1c2c(c3c([nH]c4ccccc43)c1C)C(=O)NC2=O,6.154901959985743
O=C1NC(=O)c2c1c1ccccc1c1[nH]c3ccccc3c21,5.0
O=C1NC(=O)c2c1c1c(c3sc4ccccc4c23)CCC1,5.0
O=C1NC(=O)c2c1c1c(c3oc4ccccc4c23)CCC1,5.0
CCCc1c2c(c3c([nH]c4ccccc43)c1CC)C(=O)NC2=O,5.0
O=C1NC(=O)c2c1c1c(c3[nH]c4ccccc4c23)CCCC1,5.0
O=C1NCc2c3c(c4[nH]c5ccccc5c4c21)CCC3,5.0
O=C1NC(=O)c2c1ccc1[nH]c3ccccc3c21,5.0
O=C1NC(=O)c2c1c1c(c3[nH]c4ccccc4c23)CCO1,5.0
O=C(c1cc(Cc2nnc(O)c3ccccc23)ccc1F)N1CCCN(CC2CC2)CC1,8.301029995663981
O=C(c1cc(Cc2nnc(O)c3ccccc23)ccc1F)N1CCCN(C2CCCCC2)CC1,8.301029995663981
CCCN1CCCN(C(=O)c2cc(Cc3nnc(O)c4ccccc34)ccc2F)CC1,8.301029995663981
CCN1CCCN(C(=O)c2cc(Cc3nnc(O)c4ccccc34)ccc2F)CC1,8.154901959985743
CN1CCCN(C(=O)c2cc(Cc3nnc(O)c4ccccc34)ccc2F)CC1,8.045757490560675
O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCCNCC1,8.154901959985743
O=C(c1cccc(Cc2nnc(O)c3ccccc23)c1)N1CCCN(CC2CC2)CC1,7.853871964321762
O=C(c1cccc(Cc2nnc(O)c3ccccc23)c1)N1CCCN(C2CCCCC2)CC1,8.221848749616356
CCCN1CCCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,8.0
CCN1CCCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,7.823908740944319
